mal_id,title,type,episodes,my_id,watched_episodes,start_date,finish_date,score,status,tags,comments
31757,Kizumonogatari II: Nekketsu-hen,MOVIE,1,0,1,0000-00-00,0000-00-00,7,Completed,,
31758,Kizumonogatari III: Reiketsu-hen,MOVIE,1,0,1,0000-00-00,0000-00-00,8,Completed,,
56609,Kizumonogatari: Koyomi Vamp,MOVIE,1,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
5678,Kobato.,TV,24,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
28851,Koe no Katachi,MOVIE,1,0,1,0000-00-00,0000-00-00,9,Completed,,
11887,Kokoro Connect,TV,13,0,13,0000-00-00,0000-00-00,5,Completed,,
16001,Kokoro Connect: Michi Random,OVA,4,0,4,0000-00-00,0000-00-00,4,Completed,,
43,GHOST IN THE SHELL: Koukaku Kidoutai,MOVIE,1,0,1,0000-00-00,0000-00-00,8,Completed,,
467,Koukaku Kidoutai: STAND ALONE COMPLEX,TV,26,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
32268,Koyomimonogatari,ONA,12,0,6,0000-00-00,0000-00-00,6,On-Hold,,
33263,Kubikiri Cycle: Aoiro Savant to Zaregotozukai,OVA,8,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
18153,Kyoukai no Kanata,TV,12,0,12,0000-00-00,0000-00-00,7,Completed,,
28675,Kyoukai no Kanata: I'LL BE HERE - Mirai-hen,MOVIE,1,0,1,0000-00-00,0000-00-00,8,Completed,,
1088,Choujikuu Yousai Macross,TV,36,0,6,0000-00-00,0000-00-00,5,Dropped,,
28013,Macross Δ,TV,26,0,7,0000-00-00,0000-00-00,6,Dropped,,
38256,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,TV,13,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
276,Mahoromatic,TV,12,0,5,0000-00-00,0000-00-00,0,Dropped,,
9756,Mahou Shoujo Madoka☆Magica,TV,12,0,12,0000-00-00,0000-00-00,8,Completed,,
11981,Mahou Shoujo Madoka☆Magica: Hangyaku no Monogatari,MOVIE,1,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
35062,Mahoutsukai no Yome,TV,24,0,3,0000-00-00,0000-00-00,7,On-Hold,,
5030,Maria†Holic,TV,12,0,6,0000-00-00,0000-00-00,5,Dropped,,
10721,Mawaru Penguindrum,TV,24,0,6,0000-00-00,0000-00-00,7,Dropped,,
10110,Mayo Chiki!,TV,13,0,2,0000-00-00,0000-00-00,0,Dropped,,
17074,Monogatari Series: Second Season,TV,26,0,26,0000-00-00,0000-00-00,9,Completed,,
457,Mushishi,TV,26,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
28957,Mushishi Tokubetsu-hen: Suzu no Shizuku,MOVIE,1,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,TV,11,0,11,0000-00-00,0000-00-00,6,Completed,,
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,12,0,12,0000-00-00,0000-00-00,6,Completed,,
20,NARUTO,TV,220,0,7,0000-00-00,0000-00-00,5,Dropped,,
59425,NegaPosi Angler,TV,12,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
1210,NHK ni Youkoso!,TV,24,0,11,0000-00-00,0000-00-00,7,Dropped,,
54724,Nige Jouzu no Wakagimi,TV,12,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
18897,Nisekoi,TV,20,0,4,0000-00-00,0000-00-00,8,On-Hold,,
11597,Nisemonogatari,TV,11,0,11,0000-00-00,0000-00-00,7,Completed,,
19815,No Game No Life,TV,12,0,12,0000-00-00,0000-00-00,7,Completed,,
20507,Noragami,TV,12,0,12,0000-00-00,0000-00-00,5,Completed,,
50410,ONE PIECE FILM: RED,MOVIE,1,0,1,0000-00-00,0000-00-00,6,Completed,,
30276,One Punch Man,TV,12,0,12,0000-00-00,0000-00-00,8,Completed,,
2966,Ookami to Koushinryou,TV,13,0,13,0000-00-00,0000-00-00,8,Completed,,
5341,Ookami to Koushinryou II,TV,12,0,12,0000-00-00,0000-00-00,7,Completed,,
19221,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",TV,10,0,6,0000-00-00,0000-00-00,3,Dropped,,
107,Ou Dorobou JING,TV,13,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
31181,Owarimonogatari,TV,12,0,12,0000-00-00,0000-00-00,7,Completed,,
35247,Owarimonogatari (Ge),TV,7,0,7,0000-00-00,0000-00-00,8,Completed,,
490,Paniponi Dash!,TV,26,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
1943,Paprika,MOVIE,1,0,1,0000-00-00,0000-00-00,7,Completed,,
14407,PERSONA 3 THE MOVIE: #1 Spring of Birth,MOVIE,1,0,1,0000-00-00,0000-00-00,5,Completed,,
21473,PERSONA 3 THE MOVIE: #2 Midsummer Knight's Dream,MOVIE,1,0,1,0000-00-00,0000-00-00,7,Completed,,
1119,Pocket Monsters: Celebi Toki wo Koeta Deai,MOVIE,1,0,1,0000-00-00,0000-00-00,6,Completed,,
20159,Pocket Monsters: THE ORIGIN,SPECIAL,4,0,4,0000-00-00,0000-00-00,6,Completed,,
13601,PSYCHO-PASS,TV,22,0,22,0000-00-00,0000-00-00,7,Completed,,
59145,Ranma 1/2 (2024),TV,12,0,2,0000-00-00,0000-00-00,7,Watching,,
31240,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,0,25,0000-00-00,0000-00-00,6,Completed,,
45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
33255,Saiki Kusuo no Ψ-nan,TV_SHORT,120,0,60,0000-00-00,0000-00-00,6,Dropped,,
13759,Sakurasou no Pet na Kanojo,TV,24,0,24,0000-00-00,0000-00-00,3,Completed,,
205,Samurai Champloo,TV,26,0,1,0000-00-00,0000-00-00,7,On-Hold,,
14515,Sasami-san@Ganbaranai,TV,12,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,MOVIE,1,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
2605,Sayonara Zetsubou Sensei,TV,12,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,0,13,0000-00-00,0000-00-00,7,Completed,,
38329,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,MOVIE,1,0,1,0000-00-00,0000-00-00,7,Completed,,
1033,Sennen Joyuu,MOVIE,1,0,1,0000-00-00,0000-00-00,8,Completed,,
339,serial experiments lain,TV,13,0,13,0000-00-00,0000-00-00,8,Completed,,
355,Shakugan no Shana,TV,24,0,1,0000-00-00,0000-00-00,5,Dropped,,
3420,Shigofumi,TV,12,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
58426,Shikanoko Nokonoko Koshitantan,ONA,12,0,1,0000-00-00,0000-00-00,8,On-Hold,,
7724,Shiki,TV,22,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
3786,Shin Evangelion Movie:||,MOVIE,1,0,1,0000-00-00,0000-00-00,8,Completed,,
8557,Shinryaku! Ika Musume,TV,12,0,3,0000-00-00,0000-00-00,6,Dropped,,
30,Shin Seiki Evangelion,TV,26,0,26,0000-00-00,0000-00-00,8,Completed,,
32,"Shin Seiki Evangelion Movie: Air / Magokoro wo, Kimi ni",MOVIE,1,0,1,0000-00-00,0000-00-00,9,Completed,,
440,Shoujo Kakumei Utena,TV,39,0,4,0000-00-00,0000-00-00,7,On-Hold,,
35838,Shoujo Shuumatsu Ryokou,TV,12,0,3,0000-00-00,0000-00-00,8,On-Hold,,
2923,Shugo Chara!,TV,51,0,6,0000-00-00,0000-00-00,6,Watching,,
48849,Sonny Boy,TV,12,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
48736,Sono Bisque Doll wa Koi wo Suru,TV,12,0,1,0000-00-00,0000-00-00,0,On-Hold,,
8726,Soredemo Machi wa Mawatteiru,TV,12,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
52991,Sousou no Frieren,TV,28,0,28,0000-00-00,0000-00-00,8,Completed,,
9253,Steins;Gate,TV,24,0,24,0000-00-00,0000-00-00,9,Completed,,
